,id,full_text,user_location,geo,coordinates,place
72,1593330875634225155,@glossier Thanks very much for your response. I appreciate it as much as I appreciate Glossier products :),London,,,
73,1593330401296396288,RT @livsosrry: SHE’S ARRIVED!! 💜🦋✨💄💋 @glossier @LiviesHQ @oliviarodrigo https://t.co/rrjxqCOsfl,"seattle, wa | he/him",,,
74,1593330372267413507,RT @livsosrry: SHE’S ARRIVED!! 💜🦋✨💄💋 @glossier @LiviesHQ @oliviarodrigo https://t.co/rrjxqCOsfl,,,,
75,1593329938030989312,was anyone else having a problem with their @glossier pisces ultralip cap not fitting properly? it would never fully click and ended up falling off somehwere :( i can’t get a replacement cap because it’s sold out. lmk if they were having a problem w a loose cap too!,she/her 17,,,
76,1593320864916840448,Can someone convince @glossier to restock the Liv collection!!! 😭🌸✨🦋 I want it so badlyyyy!!! https://t.co/bonQCeec94,Montreal ~ Canada ,,,
77,1593318135414886402,SHE’S ARRIVED!! 💜🦋✨💄💋 @glossier @LiviesHQ @oliviarodrigo https://t.co/rrjxqCOsfl,she her 🕰️ 18,,,
78,1593316503662825474,3️⃣ Turn your customers into brand evangelists. Incentivize your loyal fans to tell their friends by fostering a community and rewarding referrals (see: the @glossier effect).,"Los Angeles, CA",,,
79,1593313748529295361,"I have been waiting for glossier's order for 2 weeks, but it still hasn't been delivered. God, I don't know if I can receive it before I go to Australia.@glossier","Oregon, USA",,,
80,1593290902998581248,. @glossier restock the ultralip challenge https://t.co/NF9dQYyjGv,she/her•black•teen•lhq x2,,,
81,1593278433085095937,"Y’all better like my new Tiktok if you want smooth lips this winter 😤😩🫶🏼🤎💄

I used cute little products from @glossier @hudabeauty &amp; @FreshBeauty 

https://t.co/Pm5UuP9wQb","Los Angeles, CA",,,
82,1593272749761388545,"Dear @glossier please unsubscribe me from your mailing list. I’ve tried doing so myself via the link provided at the bottom of each mail but the link doesn’t work. 
I don’t wish to receive daily emails from you (even though I like your products) so please take care of it. Thanks!",London,,,
83,1593260678600704000,@hobble_hobble @glossier I have the same issue @glossier,ǝʌɐ uooɯʎǝuoɥ,,,
84,1593260573810200583,@glossier I made an order 7 weekdays ago and haven’t got my confirmation email for shipping or anything. And i was hoping to get it before i leave 🥺 #glossier,ǝʌɐ uooɯʎǝuoɥ,,,
85,1593193413276741633,"@glossier Hello, I am just wondering whether the Glossier beauty bag is likely to be restocked in the U.K. before Christmas? Many thanks.",Dartford,,,
86,1593114379733827584,"Hi @glossier, I placed an order a week ago and still no updates. I really need it before I leave the US 🥺","Melbourne, Australia.",,,
87,1593057069170855936,i need @glossier to restock the swiss miss balm dotcom before christmas it’s the perfect gift and i just missed it😭😭,,,,
88,1592988247797698561,@glossier please restock swiss miss bdc winter hasnt even started yet 😭,she/her,,,
89,1592972159307350017,I'm still very angry. I've paid for it for 12 days. Why hasn't glossier delivered it to me?  @glossier @glossier,"Oregon, USA",,,
90,1592965943852175361,All I want for Xmas is a @glossier sponsorship 😍,"Quebec, Canada",,,
91,1592963818837389312,The new Swiss lip balm from @glossier is *chefs kiss* very nostalgic!,"Lake Worth, FL",,,
92,1592949295480975362,@glossier how do I go get an update on an order placed on 2 November? I have emailed GTeam a few times but no reply from them,,,,
93,1592939721172213760,@glossier is swiss miss available in seattle?,lhq x2,,,
94,1592933014681501696,@glossier continues the rollout of permanent retail locations that it began in 2021 after closing its New York and Los Angeles stores during the coronavirus pandemic. https://t.co/Ss1NB9hCDi #beautymatter #glossier #retail #cosmetics #skincare https://t.co/YyDWrVTNt5,,,,
95,1592931909579214848,"@glossier hi, i have placed two orders on different dates and both have been canceled. Can you explain why pls?
Order GL14351170 and GL14401628. Thanks. Really need the products ASAP.",,,,
96,1592903703862075392,"What are beauty brand giants like @elfcosmetics, @glossier &amp; @tula  doing to stay white-hot in an ultra-competitive market? We rounded up key trends and real-world examples for beauty brands to try in 2023. https://t.co/KwDVs2kDAt https://t.co/hg0YRyATuT","San Francisco, CA",,,
97,1592840082322378753,@glossier do the holiday kits come with a holiday sticker? 🤔 Afraid sets will sold out but don’t want to miss out on the festive sticker…. 🫣,"London, England",,,
98,1592839620349550593,"@glossier I received an order but it is missing one of my items - I’ve reached out via email and Twitter DMs the since Saturday but not heard back, would be great to get this sorted - thanks! 😊",London / Halifax,,,
99,1592813377759449093,RT @not_madi_: This @NFTCryptoChicks by @illustramanda is a top executive at @Glossier who leads new product innovation. She’s dreamed up a…,United States,,,
100,1592797068523081728,@glossier hi I sent an email 3 days ago and no one has replied. You're sending an item to the wrong address. It will be delivered to that wrong address tomorrow. Can you stop the delivery please?,"Midlands, UK",,,
101,1592778259015806977,"RT @ICUC: Join ICUC’s Co-President &amp; Chief Growth Officer, Nicole Van Zanten, @jaybaer from @convince, and Jamie Dinar from @glossier on We…",florida,,,
102,1592778209829203969,RT @convince: Happening tomorrow! Learn all there is to know on how to boost your cx initiatives across your channels from top-level expert…,florida,,,
103,1592718528473600000,cold pitched to glossier &amp; they instantly emailed back not looking for any collaborations at the moment.. grrr i would LOVE to work with this company. @glossier,"Indiana, USA",,,
104,1592678882939146240,@glossier will u be restocking the glossier you candles 🥲🥲,♉️⊙ ♎️☽ ♊️↑ | she/her,,,
105,1592659187070562304,One thing Ab me is I will watch fight club for the first time after lighting my @Glossier candle and putting on fuzzy socks and lounge in my @yourparade comfy undies on a Tuesday night.,,,,
106,1592657849880317953,@glossier Thank you besties! 💖,Where the Boats Are,,,
107,1592651606675566593,Thank you 😍💜 @glossier @oliviarodrigo @LiviesHQ #glossierxoliviarodrigo https://t.co/e0LcsA2dCc,cali | she/her 💟,,,
108,1592614944847302657,the glossier swiss miss balm is delicious 😭 @glossier please restock it i need endless supply,she/her,,,
109,1592593779193683968,"#OliviaRodrigo's fave brand, @glossier, Is 30% off sitewide!!! 🏃‍♀️  https://t.co/ITzRzuIGGh","New York, NY",,,
110,1592577063369998336,@glossier please restock swiss miss🤍 u will make so much money please do it,,,,
111,1592556344774918144,"@glossier Hi, I would love for my candle to arrive…🫤 I’ve emailed twice and no response. I placed my order on 11/1 and the tracking is stuck in limbo…. Order #GL14270408","Canyon Lake, TX",,,
112,1592553042137993218,feelin happy n healthy with my @glossier X @oliviarodrigo collection ! 💟 https://t.co/zE9Unl6kWq,"she/her, liviesHQ noticed 5x.",,,
113,1592552482496208896,Bring back bubble wrap pls @glossier,tus sueños,,,
114,1592535057709031424,"RT @sabrinatajudin_: 💖Pink Beauty Routine💖 feat :
@WardahBeauty_MY
@tatagaltier @kaymanbeauty @glossier @GlowRecipe Neogen @flonerch @needs…",,,,
115,1592530698917007361,RT @LiviesHQ: it’s purple out here!!! 💟  LA understood the assignment &amp; showed up to @glossier on monday to celebrate liv’s new collection.…,brutal,,,
116,1592505977685016577,RT @ursosour: got to see my bestie! @glossier @oliviarodrigo @LiviesHQ https://t.co/xGQdazqLEu,happy and healthy ,,,
117,1592503337915920387,RT @FlorenceWatany1: @glossier yall should restock it since its for christmas season and its only november,0945,,,
118,1592503215844913154,RT @luxureybaby: glossier swiss miss sold out and i didn’t get to buy one. So upset ahhh @glossier pls add it to the permanent collection.,0945,,,
119,1592499184170860549,RT @bwtracingpoint: @glossier bring back swiss miss and wild fig,0945,,,
120,1592499051886686213,@glossier Will restock swiss miss?,0945,,,
121,1592473751102582784,Hands up if you NEED that @glossier Cross Country Kit. ⛷ https://t.co/oTmVQlgeKS,London,,,
122,1592393248596975617,@glossier bought mine and y’all didn’t even ship it to me with the rest of my products.🧍🏻‍♀️,w/andi,,,
123,1592368542875545600,@_CosaLinda @glossier look stunnily glossier🙏🌹,"Chandigarh, India",,,
124,1592344988238884865,"@glossier Hello, will this set be available again? 😭 https://t.co/eSTsJIKwHX",,,,
125,1592297572382687236,throwback to when I bought from @glossier for the first time ❤️ full face of glossier &lt;3 https://t.co/aOogFBybRo,tus sueños,,,
126,1592263511593586688,"In tonight’s #LHRoundup:
 
1⃣ @topicals raises $10M Series A
2⃣ @ordergroove raises $100M 
3⃣ @glossier continues brick-and-mortar expansion in Philadelphia and Brooklyn
4⃣ 2,270 open roles
 
Read: https://t.co/fppDWiyCDd
Subscribe: https://t.co/I8GvMUodXy","New York, NY",,,
127,1592261671862427649,@glossier bring back swiss miss and wild fig,,,,
128,1592256747158310913,@glossier restock the swiss miss balm PLEASE,☕️ She Her,,,
129,1592254608222871552,I wish @glossier operated like a restaurant with same day delivery runners in the city,"New York, NY",,,
130,1592245444591390720,me &amp; @glossier r bffs it’s true https://t.co/u6ePedCM3H,she/her. anti.,,,
131,1592229190367346688,@glossier come on you know what to do!! my bffs look amazingggg 🤍 https://t.co/dAmCNzGlCT,21 • she\her ,,,
132,1592228977804201984,RT @Sky_Elysse: Sponsor me please @glossier :) https://t.co/Tz8Q76i89p,21 • she\her ,,,
133,1592228828071743488,RT @Sky_Elysse: Sponsor me please @glossier :) https://t.co/Tz8Q76i89p,"Florida, USA",,,
134,1592227320974446592,Sponsor me please @glossier :) https://t.co/Tz8Q76i89p,She/Her • 22 • ms • dancer,,,
135,1592222485663318017,@glossier please say you will make more of the Swiss miss lip balm,,,,
136,1592219903855136769,@glossier gingerbread cookie bdc please,new england,,,
137,1592217766941331456,@kaleighf @glossier &amp; Swiss Miss for sure! https://t.co/zigowausjq,"Indianapolis, IN",,,
138,1592217209065345025,@glossier RESTOCK IT PLS,,,,
139,1592200455924453377,the fact that the @glossier swiss miss balm dotcom is sold out and won't be restocked🫠,,,,
140,1592194857061470209,@glossier my packaging arrived crushed…. luckily the lip balm was fine but the box was cute…. https://t.co/2YYSuzcdNi,,,,
141,1592191855231393792,"Hey @glossier it’s been 8 days and you haven’t shipped my order still or responded to my email, can y’all get on it pls","Athens, PA",,,
142,1592180750534967297,@FlowersForLiv @oliviarodrigo @glossier @LiviesHQ Omg so beautiful,,,,
143,1592175674592489474,@hterodrigo @LizzyMcAlpine they need to restock it. @glossier,lhq x2,,,
144,1592144357125427200,@FlowersForLiv @oliviarodrigo @glossier @LiviesHQ Slayy,,,,
145,1592143718538264578,Me realizing that I still have a 20 dollar @glossier gift card. Like how could I forget that??!!! https://t.co/ZdHROpz8D9,"Hampton, VA",,,
146,1592138948192931841,RT @ursosour: got to see my bestie! @glossier @oliviarodrigo @LiviesHQ https://t.co/xGQdazqLEu,She/Her,,,
147,1592091448329252869,"GUYS 😭😭😭😭😭
@glossier @oliviarodrigo I LOVE YOU SO MUCH https://t.co/lFwTTbzRJy",the exit ☆ lhq x4 | she/her,,,
148,1592081799634890752,"RT @cohorted: Want to get glowy this November? 

We have teamed up with clean skincare and makeup brand @glossier to bring you some skin lo…","Luton, England",,,
149,1592069661625319431,@glossier aren’t y’all union busters,she/her/they,,,
150,1592012538174406657,manifesting i receive a @glossier back in stock notification for swiss miss bdc because it sold out as i was checking out. i’m heartbroken because i missed it,lhq x2,,,
151,1592012245634265093,Less is more and that’s why I’m a @glossier Girl✨.,"Madre Linda, CA",,,
152,1591980373067829249,@isobelvictoria_ @glossier @oliviarodrigo @LiviesHQ Slay,,,,
153,1591964299039494145,"RT @cohorted: Want to get glowy this November? 

We have teamed up with clean skincare and makeup brand @glossier to bring you some skin lo…","Scotland, United Kingdom",,,
154,1591957724635725824,RT @ursosour: got to see my bestie! @glossier @oliviarodrigo @LiviesHQ https://t.co/xGQdazqLEu,,,,
155,1591945539696099328,@jonaweenie @LiviesHQ @glossier @oliviarodrigo AHHH THANK YOU BESTIE!!!🤭💜🫶🏼,19 | she/her | 🇵🇭 | pan,,,
156,1591944992507195394,"@ursosour @LiviesHQ @glossier @oliviarodrigo OMG, FAITH!! LESSGOOOO!! U LOOK SOOOO GOOD, BESTIE!! 🤩💜✨","seattle, wa | he/him",,,
157,1591944896524713984,RT @ursosour: got to see my bestie! @glossier @oliviarodrigo @LiviesHQ https://t.co/xGQdazqLEu,"seattle, wa | he/him",,,
158,1591942141445820416,@ashhbedumb @glossier @oliviarodrigo @LiviesHQ I LOVE U MORE I SWEAR,19 | she/her | 🇵🇭 | pan,,,
159,1591942097036541952,@ashhbedumb @glossier @oliviarodrigo @LiviesHQ AHHH THANK U ADING &lt;333,19 | she/her | 🇵🇭 | pan,,,
160,1591941953859776512,@ursosour @glossier @oliviarodrigo @LiviesHQ LOVE YOU,she/they ❥ 16 ❥ filo ❥ la ,,,
161,1591941944531652608,@ursosour @glossier @oliviarodrigo @LiviesHQ UR SO HOT MY ATEEEE,she/they ❥ 16 ❥ filo ❥ la ,,,
162,1591941916698238976,RT @ursosour: got to see my bestie! @glossier @oliviarodrigo @LiviesHQ https://t.co/xGQdazqLEu,she/they ❥ 16 ❥ filo ❥ la ,,,
163,1591930370437836801,RT @ursosour: got to see my bestie! @glossier @oliviarodrigo @LiviesHQ https://t.co/xGQdazqLEu,,,,
164,1591928194466476032,@sourglendale @glossier @oliviarodrigo @LiviesHQ &lt;3333 ty bestie,19 | she/her | 🇵🇭 | pan,,,
165,1591926538542645249,@_nataliuhhh @glossier Bump @glossier,Limbo,,,
166,1591920624196550656,Wearing @oliviarodrigo &amp; @glossier ultra lip on Pisces.. I’m obsessed 🥰 @LiviesHQ https://t.co/spz5blgBKI,Ireland,,,
167,1591920572879208448,went to glossier to buy the olivia bag and wore my docs just living my rodrigohoe life @glossier @LiviesHQ https://t.co/RXGz2l4uN3,,,,
168,1591919268509388800,RT @ursosour: got to see my bestie! @glossier @oliviarodrigo @LiviesHQ https://t.co/xGQdazqLEu,Olivia Rodrigo’s home💘🏡,,,
169,1591919234703319040,what are @glossier and @LiviesHQ plan on restocking livs collection PLEAK I NEED IT, lhq x34 | 🇵🇭 | stsf ,,,
170,1591919197625651200,RT @ursosour: got to see my bestie! @glossier @oliviarodrigo @LiviesHQ https://t.co/xGQdazqLEu,tinista & livie,,,
171,1591919109557858304,@ursosour @LiviesHQ @glossier @oliviarodrigo LOVE,ǝnuǝʌɐ uooɯʎǝuoɥ • 22 ♡,,,
172,1591919014884052992,RT @ursosour: got to see my bestie! @glossier @oliviarodrigo @LiviesHQ https://t.co/xGQdazqLEu,,,,
173,1591918308835876864,One day @glossier will respond to my email or DMs without me needing to tweet @ them,,,,
174,1591918239868768263,@ursosour @glossier @oliviarodrigo @LiviesHQ SO PRETTY!!!!,United States,,,
175,1591913186911215616,"RT @cohorted: Want to get glowy this November? 

We have teamed up with clean skincare and makeup brand @glossier to bring you some skin lo…","Wolverhampton, United Kingdom",,,
176,1591909962988638211,Anyone have any perfumes that smell similar to @glossier you? I don’t want to support that company,she/her,,,
177,1591908331073208320,@ursosour @glossier @oliviarodrigo @LiviesHQ gorgeous,sabrina follows,,,
178,1591907911017836544,@ursosour @glossier @oliviarodrigo @LiviesHQ SO CUTE FAITH,"Los Angeles, CA",,,
179,1591905349635903491,I NEED LIVS BAG FROM @glossier PLEASE RESTOCK PELAK IM BEHGING, lhq x34 | 🇵🇭 | stsf ,,,
180,1591905226189340672,@ursosour @glossier @oliviarodrigo @LiviesHQ omg slayy faith!!,livieshq x1! ❤️‍🔥,,,
181,1591904738156904448,@aaahdumb @glossier @oliviarodrigo @LiviesHQ very slayyyy,19 | she/her | 🇵🇭 | pan,,,
182,1591901938366709761,"RT @cohorted: Want to get glowy this November? 

We have teamed up with clean skincare and makeup brand @glossier to bring you some skin lo…",Huddersfield west yorkshire,,,
183,1591899564667461634,"RT @cohorted: Want to get glowy this November? 

We have teamed up with clean skincare and makeup brand @glossier to bring you some skin lo…",Kent,,,
184,1591891209957801985,@cohorted @glossier Entered 🤩,"England, United Kingdom",,,
185,1591891172993236992,"RT @cohorted: Want to get glowy this November? 

We have teamed up with clean skincare and makeup brand @glossier to bring you some skin lo…","England, United Kingdom",,,
186,1591890947646029825,@glossier please open a store in mall of America im begging you,,,,
187,1591889590184726528,@isobelvictoria_ @glossier @oliviarodrigo okay makes sense lol,,,,
188,1591889372319711232,@hannahakbd @glossier @oliviarodrigo i haven’t yet !! waiting till they come online to post 🤭,"she/her, liviesHQ noticed 5x.",,,
